AAPL,FB,NFLX,V,XOM
214.009998,,53.479999,88.139999,69.150002
214.379993,,51.510001,87.129997,69.41999799999999
210.969995,,53.319999,85.959999,70.019997
210.58,,52.400001,86.760002,69.800003
211.980005,,53.300002,87.0,69.519997
210.110003,,53.23,86.75,70.300003
207.720001,,52.37,86.339996,69.949997
210.650002,,53.96,87.139999,69.66999799999999
209.43,,50.989999,87.440002,69.68
205.93,,50.950001,86.139999,69.110001
215.039995,,51.2,87.849998,69.269997
211.73,,51.240001,87.41999799999999,68.029999
208.069996,,51.19,84.449997,66.699997
197.75,,50.89,82.730003,66.099998
203.070002,,49.13,82.029999,65.849998
205.940001,,49.949998,81.150002,65.91999799999999
207.880005,,50.969998,83.910004,65.540001
199.289995,,63.040001,82.650002,64.959999
192.060003,,62.250003,82.029999,64.43
194.729998,,61.030002,83.660004,66.18
195.859997,,61.85,84.010002,66.959999
199.229994,,61.950003,83.519997,66.599998
192.050003,,60.339999,83.050003,64.720001
195.460001,,60.839997,82.559998,64.800003
194.119997,,60.899999,83.050003,64.349998
196.190004,,62.13,83.269997,65.199997
195.120007,,61.489999,83.639999,64.849998
198.669994,,63.360002,85.139999,65.239998
200.379993,,63.179997,84.779999,64.800003
203.399996,,64.860003,85.879997,66.279999
202.550003,,64.510001,86.41999799999999,65.760002
202.929998,,66.099998,86.959999,65.959999
201.669996,,66.649997,86.809998,65.870003
200.419994,,65.269999,86.910004,65.400002
197.059998,,64.349998,86.120003,64.940002
200.66,,64.689999,85.629997,65.550003
202.000004,,65.61,85.230003,65.139999
204.619997,,66.050003,85.279999,65.0
208.990004,,69.7,86.82,65.400002
208.85,,68.979997,86.449997,65.489998
209.329998,,67.54999699999999,86.800003,65.43
210.710003,,68.010001,87.040001,65.400002
218.950005,,67.65,88.510002,66.470001
219.079994,,68.680003,90.629997,66.480003
223.020004,,69.939999,90.150002,66.779999
224.839993,,71.28000300000001,91.519997,67.220001
225.500008,,71.190001,92.739998,67.220001
226.600006,,69.98,93.25,66.800003
223.839996,,69.599998,92.410004,66.300003
224.449997,,70.63000100000001,91.650002,66.57
224.120003,,70.920001,91.510002,67.360001
224.650002,,70.539999,90.129997,67.389999
222.25,,70.449997,88.839996,67.040001
224.750004,,72.889999,89.239998,66.970001
228.359993,,72.960001,89.980003,66.949997
229.370003,,72.370001,88.75,66.5
226.649994,,73.540001,90.410004,66.300003
230.899998,,74.299998,90.25,66.540001
232.389992,,73.900002,90.239998,67.300003
235.849991,,75.060002,91.0,67.050003
235.000011,,73.739999,91.029999,66.980003
235.969994,,75.000001,92.550003,67.610001
238.489998,,79.990002,92.470001,68.190002
239.540009,,83.36999899999999,92.400002,67.900002
240.600006,,79.730002,90.709999,67.339996
239.950005,,81.82999699999999,91.489998,67.860001
241.789993,,82.419997,92.519997,68.760002
242.290005,,83.180001,93.190002,68.709999
242.430008,,86.38000100000001,92.790001,68.660004
245.690002,,87.570002,94.260002,68.610001
248.92001,,86.829998,94.449997,68.260002
247.400002,,85.31000300000001,93.849998,67.93
247.070007,,84.799998,93.120003,68.230003
244.590004,,87.069997,94.050003,68.970001
259.220005,,86.980001,93.129997,68.91999799999999
266.46999700000003,,100.249998,95.139999,68.559998
270.82999,,99.73,96.589996,69.239998
269.5,,108.169999,96.0,69.290001
262.039989,,102.07,92.949997,68.269997
261.600006,,99.389998,93.610001,69.190002
268.640007,,103.169998,92.82,68.660004
261.090008,,98.900001,90.230003,67.769997
266.34999500000004,,101.989998,89.269997,67.839996
258.679993,,99.359998,88.370003,66.470001
255.989998,,98.229999,86.43,66.16999799999999
246.249989,,96.970003,82.91999799999999,63.889999
235.860004,,91.090002,82.290001,63.700001
253.990005,,97.500002,85.989998,65.230003
256.51999700000005,,99.820002,84.160004,64.459999
262.090004,,107.829998,85.68,64.910004
258.360012,,110.010001,85.730003,64.739998
253.819988,,100.559999,77.260002,63.599998
254.219997,,106.349998,74.709999,63.27
252.360008,,102.009998,70.089996,62.790001
248.339996,,100.61,72.970001,62.450001
237.75999500000003,,94.989998,72.82,60.330002
242.319992,,99.47,74.199997,60.880001
246.759987,,101.620003,74.550003,60.189999
245.220005,,105.0,72.970001,59.709999
244.109993,,104.800002,73.400002,59.310001
253.349991,,108.860002,73.690002,61.459999
256.880005,,111.150001,72.459999,60.459999
260.830002,,107.289999,71.489998,59.25
263.949993,,110.779999,71.25,60.77
263.11998700000004,,111.850003,72.839996,61.560001
255.960011,,109.780003,72.129997,59.529999
250.940002,,109.160002,71.889999,59.299999
249.330006,,110.330002,73.349998,61.240002
243.200012,,115.429998,73.800003,60.029999
250.510006,,118.660006,77.449997,61.889999
253.50999500000003,,120.689999,76.08000200000001,61.860001
254.27999900000003,,126.810005,73.779999,61.369999
259.690002,,123.499996,76.93,62.509998
267.249989,,124.669996,77.16999799999999,62.509998
271.86998700000004,,125.859997,78.239998,62.599998
274.070011,,126.419996,77.040001,63.099998
270.170002,,118.99,80.900002,63.130001
273.850006,,116.429995,78.760002,61.939999
270.969994,,117.769999,77.760002,61.099998
268.999989,,115.249994,76.480003,60.07
266.699989,,117.980003,76.660004,59.099998
268.299999,,117.609995,75.220001,58.470001
256.170002,,112.58,71.449997,57.290001
251.530003,,108.649997,70.75,57.07
248.48,,109.66,72.860001,56.610001
246.939991,,107.080001,73.18,56.57
248.62999,,107.269999,72.269997,57.459999
258.670006,,118.490002,74.82,58.43
258.089993,,116.979994,75.08000200000001,58.810001
259.61998700000004,,117.530006,77.379997,58.779999
257.290001,,119.379995,76.510002,58.939999
251.799995,,120.920004,76.589996,59.419998
252.730003,,122.999998,76.279999,59.259998
251.450001,,121.109995,75.279999,59.27
249.900005,,118.389999,71.449997,57.959999
245.580013,,118.899998,71.220001,58.43
251.890011,,120.390005,73.599998,58.950001
254.239998,,119.650002,72.360001,58.169998
259.02,,103.56,74.459999,59.380001
259.939995,,107.700002,75.589996,59.720001
259.280006,,102.790003,76.08000200000001,60.389999
264.080009,,104.089999,76.610001,60.810001
260.959991,,100.309999,75.18,60.91
258.10999300000003,,98.02,71.980003,60.34
257.25,,102.549997,73.349998,59.68
261.849998,,101.880002,72.230003,61.939999
261.93,,104.41,73.0,62.720001
262.980011,,108.129998,72.449997,62.720001
261.700008,,110.53,71.5,62.709999
260.090012,,118.319998,72.139999,61.970001
261.749996,,116.900005,74.739998,62.450001
259.409996,,125.010004,75.269997,61.93
250.18999900000003,,126.469997,73.510002,60.389999
251.790009,,133.050001,72.980003,60.23
249.099987,,132.259996,72.220001,59.91
247.640007,,137.220003,72.83000200000001,59.880001
251.970013,,132.969999,73.360001,60.82
253.070011,,125.700006,72.879997,60.150002
249.880005,,128.239998,71.629997,59.290001
249.639999,,129.959997,70.099998,58.889999
245.799992,,126.899994,70.120003,59.5
239.930004,,121.279999,70.660004,58.939999
242.889992,,124.25,70.860001,58.91
240.27999900000003,,125.839996,69.910004,58.48
241.620003,,126.100002,71.110001,59.799999
242.499996,,123.1,69.540001,59.0
243.10001,,125.520002,68.980003,59.110001
250.330002,,134.910004,70.529999,60.91
252.169991,,137.999994,71.980003,61.060001
258.770008,,138.480005,72.5,61.32
257.810013,,141.790001,71.5,60.549999
262.92001,,146.000004,68.550003,60.75
263.07,,145.679996,66.779999,61.049999
263.410007,,146.15999399999998,68.089996,61.200001
267.039997,,147.93999499999998,65.480003,61.0
268.059994,,146.650005,67.120003,61.009998
270.21999,,143.120005,68.93,61.0
276.569988,,140.499998,68.379997,60.970001
275.36998700000004,,140.459997,68.489998,60.779999
283.230007,,142.889999,70.309998,61.549999
283.769993,,147.200005,69.940002,61.540001
287.750004,,156.93,70.620003,61.450001
288.91999100000004,,160.470001,70.980003,61.150002
292.319988,,162.210001,72.370003,61.75
291.159988,,164.989998,73.0,61.709999
286.859997,,161.860006,73.269997,62.060001
287.369995,,170.62999299999998,74.410004,61.59
283.749992,,162.16,74.260002,61.790001
282.52000400000003,,154.660002,73.32,62.540001
278.639996,,156.390001,73.239998,62.189999
288.939991,,156.159996,74.989998,63.259998
289.19001000000003,,150.269995,74.230003,63.939999
289.21999700000003,,151.429995,73.610001,63.849998
294.069988,,149.639994,74.0,64.379997
295.360004,,153.690006,74.290001,64.550003
298.539997,,155.390005,74.25,64.699997
300.140007,,154.610001,76.940002,65.040001
302.30999,,152.779999,77.16999799999999,65.300003
314.739994,,155.719999,77.599998,65.190002
317.999989,,153.000004,78.360001,66.279999
309.489994,,149.33,77.550003,65.120003
310.529991,,153.149994,79.519997,66.010002
309.520008,,172.690001,79.199997,66.32
307.470001,,168.100002,79.290001,66.339996
308.839993,,166.84,80.629997,66.199997
308.049988,,177.62000700000002,80.029999,66.529999
307.830009,,178.5,79.91999799999999,65.66999799999999
305.23999,,175.700003,76.449997,66.220001
300.98,,173.569994,78.160004,66.489998
304.179993,,167.369999,77.32,66.949997
309.360004,,171.610003,78.41999799999999,67.839996
312.800003,,171.459999,79.0,67.970001
318.270008,,167.819996,79.989998,69.379997
317.130009,,168.100002,79.800003,70.0
318.620003,,169.129999,78.709999,70.32
316.079998,,170.460003,78.32,70.629997
318.030003,,176.870003,79.290001,71.129997
316.649998,,175.140003,79.220001,71.83000200000001
308.029987,,172.999994,76.940002,70.989998
307.040005,,168.299994,76.360001,70.480003
301.59,,165.399994,74.989998,68.940002
300.499989,,166.679996,75.730003,69.010002
308.429996,,168.329994,76.940002,70.309998
306.730011,,173.039995,77.050003,70.540001
313.35998900000004,,188.319998,75.459999,70.190002
308.73000299999995,,187.709997,74.650002,68.980003
314.799995,,188.769995,75.82,69.879997
315.0,,191.9,75.480003,69.230003
316.870003,,198.92,74.190002,69.449997
311.150005,,205.9,73.849998,69.559998
316.400005,,200.140001,75.220001,71.33000200000001
318.150005,,193.419994,77.0,71.480003
317.440002,,185.449999,77.349998,71.190002
320.149998,,193.469995,78.309998,71.309998
318.210007,,189.810005,76.879997,71.459999
321.009991,,188.229996,77.940002,71.849998
319.760002,,191.049994,79.120003,72.0
320.559994,,194.629995,80.199997,72.18
321.670006,,183.800001,80.889999,72.360001
320.290001,,178.449999,80.639999,72.18
320.35998900000004,,178.5,76.940002,71.849998
321.249996,,181.650005,67.190002,72.220001
320.610008,,180.019995,66.900002,72.16999799999999
322.209991,,178.050003,67.989998,72.220001
324.199997,,186.240004,68.050003,72.720001
325.159992,,185.349997,68.550003,72.800003
323.60001,,184.580006,68.730003,73.199997
324.680008,,180.009995,70.809998,73.010002
325.470013,,183.669998,70.730003,73.41999799999999
325.290009,,180.27,70.599998,73.370003
323.660011,,179.800003,70.290001,73.360001
322.560013,,175.700003,70.379997,73.120003
329.57,,178.409998,70.519997,74.550003
331.290012,,181.369999,70.599998,74.900002
334.000008,,179.730001,72.089996,74.699997
333.729988,,177.990002,73.16999799999999,75.18
336.120003,,179.300005,72.959999,75.589996
342.450001,,187.880001,71.809998,75.129997
341.639996,,186.65,71.879997,75.690002
344.420006,,188.899998,72.610001,76.58000200000001
345.680008,,191.490004,71.139999,76.709999
348.479992,,191.480003,71.120003,77.839996
340.650013,,193.68,71.209999,78.709999
338.840012,,190.870003,69.120003,78.239998
332.680004,,185.000002,70.690002,77.75
326.720001,,182.090002,70.150002,78.980003
337.449993,,183.960005,71.790001,78.589996
341.39999,,186.740002,71.58000200000001,78.68
343.850006,,183.029997,71.0,79.660004
343.209991,,210.870007,70.599998,79.879997
336.100002,,217.979996,69.459999,78.989998
339.319996,,214.08,69.849998,80.68
345.030006,,212.9,70.699997,83.910004
344.320004,,211.260002,72.089996,83.410004
343.44001000000003,,211.489994,71.629997,83.440002
346.5,,220.070004,72.900002,83.279999
351.87999,,218.019997,73.93,83.93
355.200012,,217.630001,74.57,82.980003
358.16,,222.290001,73.279999,82.550003
354.539997,,223.19999500000003,74.739998,83.199997
356.85001,,231.069988,74.93,82.82
359.179996,,247.549992,75.739998,84.910004
359.900013,,240.78999700000003,75.610001,82.970001
